"id","book_id","best_book_id","work_id","books_count","isbn","isbn13","authors","original_publication_year","original_title","title","language_code","average_rating","ratings_count","work_ratings_count","work_text_reviews_count","ratings_1","ratings_2","ratings_3","ratings_4","ratings_5","image_url","small_image_url"
"27","1","1","41335427","275","439785960","9780439785970.0","J.K. Rowling, Mary GrandPré","2005.0","Harry Potter and the Half-Blood Prince","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","eng","4.54","1678823","1785676","27520","7308","21516","136333","459028","1161491","https://images.gr-assets.com/books/1361039191m/1.jpg","https://images.gr-assets.com/books/1361039191s/1.jpg"
"21","2","2","2809203","307","439358078","9780439358070.0","J.K. Rowling, Mary GrandPré","2003.0","Harry Potter and the Order of the Phoenix","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","eng","4.46","1735368","1840548","28685","9528","31577","180210","494427","1124806","https://images.gr-assets.com/books/1387141547m/2.jpg","https://images.gr-assets.com/books/1387141547s/2.jpg"
"2","3","3","4640799","491","439554934","9780439554930.0","J.K. Rowling, Mary GrandPré","1997.0","Harry Potter and the Philosopher's Stone","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","eng","4.44","4602479","4800065","75867","75504","101676","455024","1156318","3011543","https://images.gr-assets.com/books/1474154022m/3.jpg","https://images.gr-assets.com/books/1474154022s/3.jpg"
"18","5","5","2402163","376","043965548X","9780439655480.0","J.K. Rowling, Mary GrandPré, Rufus Beck","1999.0","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","eng","4.53","1832823","1969375","36099","6716","20413","166129","509447","1266670","https://images.gr-assets.com/books/1499277281m/5.jpg","https://images.gr-assets.com/books/1499277281s/5.jpg"
"24","6","6","3046572","332","439139600","9780439139600.0","J.K. Rowling, Mary GrandPré","2000.0","Harry Potter and the Goblet of Fire","Harry Potter and the Goblet of Fire (Harry Potter, #4)","eng","4.53","1753043","1868642","31084","6676","20210","151785","494926","1195045","https://images.gr-assets.com/books/1361482611m/6.jpg","https://images.gr-assets.com/books/1361482611s/6.jpg"
"3275","8","8","21457576","11","439682584","9780439682590.0","J.K. Rowling, Mary GrandPré","2003.0","","Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","eng","4.77","33220","33424","156","317","233","978","3686","28210","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"3753","10","10","21457570","6","439827604","9780439827610.0","J.K. Rowling","2005.0","Harry Potter Collection (Harry Potter, #1-6)","Harry Potter Collection (Harry Potter, #1-6)","eng","4.73","24618","26274","882","203","186","946","3891","21048","https://images.gr-assets.com/books/1328867351m/10.jpg","https://images.gr-assets.com/books/1328867351s/10.jpg"
"54","11","386162","3078186","257","345391802","9780345391800.0","Douglas Adams","1979.0","The Hitchhiker's Guide to the Galaxy","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","en-US","4.2","936782","1006479","20345","21764","41962","145173","299579","498001","https://images.gr-assets.com/books/1327656754m/11.jpg","https://images.gr-assets.com/books/1327656754s/11.jpg"
"337","13","13","135328","32","345453743","9780345453750.0","Douglas Adams","1996.0","The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story","The Ultimate Hitchhiker's Guide to the Galaxy","eng","4.37","222842","238420","4254","2657","6328","26431","66655","136349","https://images.gr-assets.com/books/1404613595m/13.jpg","https://images.gr-assets.com/books/1404613595s/13.jpg"
"374","21","21","2305997","155","076790818X","9780767908180.0","Bill Bryson","2003.0","A Short History of Nearly Everything","A Short History of Nearly Everything","en-US","4.19","191535","206367","9065","3514","7196","29992","71534","94131","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"1460","24","24","2611786","76","767903862","9780767903870.0","Bill Bryson","2000.0","Down Under","In a Sunburned Country","eng","4.05","58688","66668","4455","607","2214","12998","28184","22665","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"1976","25","25","3419048","69","076790382X","9780767903820.0","Bill Bryson","1998.0","Notes from a Big Country","I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away","en-US","3.89","44610","49430","2335","601","2332","12624","20065","13808","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"2321","26","26","1888943","47","60920084","9780060920080.0","Bill Bryson","1989.0","The Lost Continent: Travels in Small-Town America","The Lost Continent: Travels in Small Town America","en-US","3.83","40254","42202","2119","1100","2653","10395","16124","11930","https://images.gr-assets.com/books/1404042682m/26.jpg","https://images.gr-assets.com/books/1404042682s/26.jpg"
